Data Series,GDP In Chained (2015) Dollars,  Goods Producing Industries,    Manufacturing,    Construction,  Services Producing Industries,    Wholesale & Retail Trade And Transportation & Storage,"    Information & Communications, Finance & Insurance And Professional Services","    Accommodation & Food Services, Real Estate, Administrative & Support Services And Other Services Industries"
1985 1Q ,16289.7,4714.3,2793.8,1584.4,9084.1,na,na,na
1984 4Q ,16662.4,5044.1,3027.8,1675.8,9149.3,na,na,na
1984 3Q ,16488.4,5131.4,3082.9,1719,8902.6,na,na,na
1984 2Q ,16084.5,5086.2,3071.2,1689.7,8602.3,na,na,na
1984 1Q ,15675.4,4788.8,2876.3,1607.7,8515.7,na,na,na
1983 4Q ,15730.2,4916.5,2969.3,1632.6,8539.8,na,na,na
1983 3Q ,15151.3,4698.4,2889.1,1491.4,8285.3,na,na,na
1983 2Q ,14649.2,4505,2755.1,1431.4,8026.3,na,na,na
1983 1Q ,14134.1,4168.7,2603.5,1260.1,7880.9,na,na,na
1982 4Q ,14301.1,4218.4,2639.1,1278.1,8096.6,na,na,na
1982 3Q ,13957.7,4224.7,2743.4,1179.9,7799.9,na,na,na
1982 2Q ,13563.7,4179.3,2819.4,1066,7489.9,na,na,na
1982 1Q ,13140.5,3949.3,2709.7,948.9,7331.8,na,na,na
1981 4Q ,13526.1,4179.7,2909,972.7,7435,na,na,na
1981 3Q ,13113.3,4045.4,2910,825.1,7201.4,na,na,na
1981 2Q ,12633.1,3984.4,2909.3,764.4,6863.3,na,na,na
1981 1Q ,12045.8,3578.4,2579.2,691.4,6729.4,na,na,na
1980 4Q ,12255.7,3807.6,2758.8,735.8,6753.8,na,na,na
1980 3Q ,11797.3,3644.9,2650.3,685.3,6498.7,na,na,na
1980 2Q ,11334.3,3586.6,2593.5,693.2,6170.6,na,na,na
1980 1Q ,10922.2,3274.6,2342.8,643.6,6064.1,na,na,na
1979 4Q ,11296.8,3545.1,2576.1,664.7,6154.7,na,na,na
1979 3Q ,10692,3310.6,2398.3,615.1,5869.4,na,na,na
1979 2Q ,10274,3249.4,2325.3,632.9,5588.1,na,na,na
1979 1Q ,9793.4,2962.1,2105.2,574.5,5429.9,na,na,na
1978 4Q ,10281.5,3220.7,2304.6,623.7,5644.1,na,na,na
1978 3Q ,9884.6,3026,2168.4,571.8,5475.7,na,na,na
1978 2Q ,9280.1,2861.3,2003.9,583.5,5116.8,na,na,na
1978 1Q ,8942.2,2609.1,1787.3,552.5,5034.5,na,na,na
1977 4Q ,9329.6,2887.6,1989.8,629.4,5131.9,na,na,na
1977 3Q ,9081.6,2821.3,1902,655.8,4973.7,na,na,na
1977 2Q ,8739.3,2753,1848.7,640.4,4750,na,na,na
1977 1Q ,8467.8,2541.9,1683.2,606.2,4705.9,na,na,na
1976 4Q ,8700.6,2703.1,1816.2,633.6,4765.5,na,na,na
1976 3Q ,8537,2694.2,1766.1,679.8,4650.1,na,na,na
1976 2Q ,8124.5,2554.3,1639.4,673.1,4424.4,na,na,na
1976 1Q ,7972,2414.9,1569.2,606.7,4408.7,na,na,na
1975 4Q ,8134.6,2556.7,1679.2,649.5,4417.6,na,na,na
1975 3Q ,7960.5,2467.8,1627.7,608.1,4355.8,na,na,na
1975 2Q ,7564.2,2222,1417.9,576.4,4250.7,na,na,na
,7367.3,2089.2,1353,509.5,4187,na,na,na
